Sample,Time,Decoder,Ann Row,Ann Class,Value
2,83.333 ns,USB packet,Packets,Packet: Invalid,Invalid packet (shorter than 8 bits)
48019,2.001 ms,USB packet,Packets,Packet: SOF,SOF 341
72028,3.001 ms,USB packet,Packets,Packet: SOF,SOF 342
96037,4.002 ms,USB packet,Packets,Packet: SOF,SOF 343
120046,5.002 ms,USB packet,Packets,Packet: SOF,SOF 344
120124,5.005 ms,USB packet,Packets,Packet: PRE,PRE
120164,5.007 ms,USB packet,Packets,Packet: IN,IN ADDR 10 EP 3
144055,6.002 ms,USB packet,Packets,Packet: SOF,SOF 345
168064,7.003 ms,USB packet,Packets,Packet: SOF,SOF 346
192073,8.003 ms,USB packet,Packets,Packet: SOF,SOF 347
216080,9.003 ms,USB packet,Packets,Packet: SOF,SOF 348
240090,10.004 ms,USB packet,Packets,Packet: SOF,SOF 349
264099,11.004 ms,USB packet,Packets,Packet: SOF,SOF 350
288108,12.004 ms,USB packet,Packets,Packet: SOF,SOF 351
312116,13.005 ms,USB packet,Packets,Packet: Invalid,Invalid packet (shorter than 32 bits)
312193,13.008 ms,USB packet,Packets,Packet: PRE,PRE
312233,13.010 ms,USB packet,Packets,Packet: IN,IN ADDR 10 EP 3
336125,14.005 ms,USB packet,Packets,Packet: SOF,SOF 353
360134,15.006 ms,USB packet,Packets,Packet: SOF,SOF 354
384143,16.006 ms,USB packet,Packets,Packet: SOF,SOF 355
408152,17.006 ms,USB packet,Packets,Packet: SOF,SOF 356
432161,18.007 ms,USB packet,Packets,Packet: SOF,SOF 357
456168,19.007 ms,USB packet,Packets,Packet: SOF,SOF 358
480178,20.007 ms,USB packet,Packets,Packet: SOF,SOF 359
504187,21.008 ms,USB packet,Packets,Packet: SOF,SOF 360
504265,21.011 ms,USB packet,Packets,Packet: Invalid,Invalid packet (shorter than 8 bits)
504271,21.011 ms,USB packet,Packets,Packet: Invalid,UNKNOWN
552205,23.009 ms,USB packet,Packets,Packet: SOF,SOF 362
576214,24.009 ms,USB packet,Packets,Packet: SOF,SOF 363
600223,25.009 ms,USB packet,Packets,Packet: SOF,SOF 364
624232,26.010 ms,USB packet,Packets,Packet: SOF,SOF 365
648239,27.010 ms,USB packet,Packets,Packet: SOF,SOF 366
672249,28.010 ms,USB packet,Packets,Packet: SOF,SOF 367
696258,29.011 ms,USB packet,Packets,Packet: SOF,SOF 368
696334,29.014 ms,USB packet,Packets,Packet: PRE,PRE
696374,29.016 ms,USB packet,Packets,Packet: IN,IN ADDR 10 EP 3
720267,30.011 ms,USB packet,Packets,Packet: SOF,SOF 369
744276,31.012 ms,USB packet,Packets,Packet: SOF,SOF 370
768285,32.012 ms,USB packet,Packets,Packet: SOF,SOF 371
792293,33.012 ms,USB packet,Packets,Packet: SOF,SOF 372
816302,34.013 ms,USB packet,Packets,Packet: SOF,SOF 373
816379,34.016 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 0 EP 0
816457,34.019 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 00 01 00 00 40 00 ]
816663,34.028 ms,USB packet,Packets,Packet: ACK,ACK
817535,34.064 ms,USB packet,Packets,Packet: IN,IN ADDR 0 EP 0
817613,34.067 ms,USB packet,Packets,Packet: NAK,NAK
818639,34.110 ms,USB packet,Packets,Packet: IN,IN ADDR 0 EP 0
818718,34.113 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 12 01 01 02 02 02 00 40 83 04 40 57 00 02 01 02 03 01 ]
819088,34.129 ms,USB packet,Packets,Packet: ACK,ACK
819696,34.154 ms,USB packet,Packets,Packet: OUT,OUT ADDR 0 EP 0
819774,34.157 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
819852,34.161 ms,USB packet,Packets,Packet: ACK,ACK
822397,34.267 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 0 EP 0
822475,34.270 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 00 05 3D 00 00 00 00 00 ]
822681,34.278 ms,USB packet,Packets,Packet: ACK,ACK
823303,34.304 ms,USB packet,Packets,Packet: IN,IN ADDR 0 EP 0
823381,34.308 ms,USB packet,Packets,Packet: NAK,NAK
824422,34.351 ms,USB packet,Packets,Packet: IN,IN ADDR 0 EP 0
824500,34.354 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
824582,34.358 ms,USB packet,Packets,Packet: ACK,ACK
840311,35.013 ms,USB packet,Packets,Packet: SOF,SOF 374
864320,36.013 ms,USB packet,Packets,Packet: SOF,SOF 375
888328,37.014 ms,USB packet,Packets,Packet: SOF,SOF 376
888405,37.017 ms,USB packet,Packets,Packet: PRE,PRE
888445,37.019 ms,USB packet,Packets,Packet: IN,IN ADDR 10 EP 3
912337,38.014 ms,USB packet,Packets,Packet: SOF,SOF 377
936346,39.014 ms,USB packet,Packets,Packet: SOF,SOF 378
960355,40.015 ms,USB packet,Packets,Packet: SOF,SOF 379
984364,41.015 ms,USB packet,Packets,Packet: SOF,SOF 380
1008373,42.016 ms,USB packet,Packets,Packet: SOF,SOF 381
1032382,43.016 ms,USB packet,Packets,Packet: SOF,SOF 382
1056391,44.016 ms,USB packet,Packets,Packet: SOF,SOF 383
1080400,45.017 ms,USB packet,Packets,Packet: SOF,SOF 384
1080477,45.020 ms,USB packet,Packets,Packet: PRE,PRE
1080517,45.022 ms,USB packet,Packets,Packet: IN,IN ADDR 10 EP 3
1081469,45.061 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1081547,45.064 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 00 01 00 00 12 00 ]
1081754,45.073 ms,USB packet,Packets,Packet: ACK,ACK
1082552,45.106 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1082630,45.110 ms,USB packet,Packets,Packet: NAK,NAK
1083198,45.133 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1083277,45.137 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 12 01 01 02 02 02 00 40 83 04 40 57 00 02 01 02 03 01 ]
1083646,45.152 ms,USB packet,Packets,Packet: ACK,ACK
1084120,45.172 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1084198,45.175 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1084277,45.178 ms,USB packet,Packets,Packet: ACK,ACK
